시도명,시군구명,동명,and_nm,비례의원수,지방명,광역의원선거구명,기초의원선거구명,기초의원선출수
전라북도,장수군,천천면,전라북도 장수군 천천면,1,장수군,단일선거구,나선거구,3
전라북도,장수군,계남면,전라북도 장수군 계남면,1,장수군,단일선거구,나선거구,3
전라북도,장수군,계북면,전라북도 장수군 계북면,1,장수군,단일선거구,나선거구,3
전라북도,임실군,임실읍,전라북도 임실군 임실읍,1,임실군,단일선거구,가선거구,2
전라북도,임실군,성수면,전라북도 임실군 성수면,1,임실군,단일선거구,가선거구,2
전라북도,임실군,운암면,전라북도 임실군 운암면,1,임실군,단일선거구,나선거구,2
전라북도,임실군,신평면,전라북도 임실군 신평면,1,임실군,단일선거구,나선거구,2
전라북도,임실군,신덕면,전라북도 임실군 신덕면,1,임실군,단일선거구,나선거구,2
전라북도,임실군,관촌면,전라북도 임실군 관촌면,1,임실군,단일선거구,나선거구,2
전라북도,임실군,청웅면,전라북도 임실군 청웅면,1,임실군,단일선거구,다선거구,3
전라북도,임실군,오수면,전라북도 임실군 오수면,1,임실군,단일선거구,다선거구,3
전라북도,임실군,삼계면,전라북도 임실군 삼계면,1,임실군,단일선거구,다선거구,3
전라북도,임실군,강진면,전라북도 임실군 강진면,1,임실군,단일선거구,다선거구,3
전라북도,임실군,덕치면,전라북도 임실군 덕치면,1,임실군,단일선거구,다선거구,3
전라북도,임실군,지사면,전라북도 임실군 지사면,1,임실군,단일선거구,다선거구,3
전라북도,순창군,순창읍,전라북도 순창군 순창읍,1,순창군,단일선거구,가선거구,2
전라북도,순창군,유등면,전라북도 순창군 유등면,1,순창군,단일선거구,가선거구,2
전라북도,순창군,인계면,전라북도 순창군 인계면,1,순창군,단일선거구,나선거구,2
전라북도,순창군,동계면,전라북도 순창군 동계면,1,순창군,단일선거구,나선거구,2
전라북도,순창군,적성면,전라북도 순창군 적성면,1,순창군,단일선거구,나선거구,2
전라북도,순창군,풍산면,전라북도 순창군 풍산면,1,순창군,단일선거구,다선거구,3
전라북도,순창군,금과면,전라북도 순창군 금과면,1,순창군,단일선거구,다선거구,3
전라북도,순창군,팔덕면,전라북도 순창군 팔덕면,1,순창군,단일선거구,다선거구,3
전라북도,순창군,복흥면,전라북도 순창군 복흥면,1,순창군,단일선거구,다선거구,3
전라북도,순창군,쌍치면,전라북도 순창군 쌍치면,1,순창군,단일선거구,다선거구,3
전라북도,순창군,구림면,전라북도 순창군 구림면,1,순창군,단일선거구,다선거구,3
전라북도,고창군,고창읍,전라북도 고창군 고창읍,1,고창군,제1선거구,가선거구,3
전라북도,고창군,고수면,전라북도 고창군 고수면,1,고창군,제1선거구,가선거구,3
전라북도,고창군,신림면,전라북도 고창군 신림면,1,고창군,제1선거구,가선거구,3
전라북도,고창군,심원면,전라북도 고창군 심원면,1,고창군,제2선거구,나선거구,2
전라북도,고창군,흥덕면,전라북도 고창군 흥덕면,1,고창군,제2선거구,나선거구,2
전라북도,고창군,성내면,전라북도 고창군 성내면,1,고창군,제2선거구,나선거구,2
전라북도,고창군,부안면,전라북도 고창군 부안면,1,고창군,제2선거구,나선거구,2
전라북도,고창군,공음면,전라북도 고창군 공음면,1,고창군,제2선거구,다선거구,2
전라북도,고창군,성송면,전라북도 고창군 성송면,1,고창군,제2선거구,다선거구,2
전라북도,고창군,대산면,전라북도 고창군 대산면,1,고창군,제2선거구,다선거구,2
전라북도,고창군,아산면,전라북도 고창군 아산면,1,고창군,제2선거구,라선거구,2
전라북도,고창군,무장면,전라북도 고창군 무장면,1,고창군,제2선거구,라선거구,2
전라북도,고창군,상하면,전라북도 고창군 상하면,1,고창군,제2선거구,라선거구,2
전라북도,고창군,해리면,전라북도 고창군 해리면,1,고창군,제2선거구,라선거구,2
전라북도,부안군,부안읍,전라북도 부안군 부안읍,1,부안군,단일선거구,가선거구,3
전라북도,부안군,행안면,전라북도 부안군 행안면,1,부안군,단일선거구,가선거구,3
전라북도,부안군,주산면,전라북도 부안군 주산면,1,부안군,단일선거구,나선거구,2
전라북도,부안군,동진면,전라북도 부안군 동진면,1,부안군,단일선거구,나선거구,2
전라북도,부안군,백산면,전라북도 부안군 백산면,1,부안군,단일선거구,나선거구,2
전라북도,부안군,계화면,전라북도 부안군 계화면,1,부안군,단일선거구,다선거구,2
전라북도,부안군,변산면,전라북도 부안군 변산면,1,부안군,단일선거구,다선거구,2
전라북도,부안군,하서면,전라북도 부안군 하서면,1,부안군,단일선거구,다선거구,2
전라북도,부안군,위도면,전라북도 부안군 위도면,1,부안군,단일선거구,다선거구,2
전라북도,부안군,보안면,전라북도 부안군 보안면,1,부안군,단일선거구,라선거구,2
전라북도,부안군,진서면,전라북도 부안군 진서면,1,부안군,단일선거구,라선거구,2
전라북도,부안군,상서면,전라북도 부안군 상서면,1,부안군,단일선거구,라선거구,2
전라북도,부안군,줄포면,전라북도 부안군 줄포면,1,부안군,단일선거구,라선거구,2
전라남도,목포시,용당1동,전라남도 목포시 용당1동,3,목포시,제1선거구,가선거구,3
전라남도,목포시,용당2동,전라남도 목포시 용당2동,3,목포시,제1선거구,가선거구,3
전라남도,목포시,연동,전라남도 목포시 연동,3,목포시,제1선거구,가선거구,3
전라남도,목포시,삼학동,전라남도 목포시 삼학동,3,목포시,제1선거구,가선거구,3
전라남도,목포시,이로동,전라남도 목포시 이로동,3,목포시,제1선거구,나선거구,2
전라남도,목포시,하당동,전라남도 목포시 하당동,3,목포시,제1선거구,나선거구,2
전라남도,목포시,산정동,전라남도 목포시 산정동,3,목포시,제2선거구,다선거구,3
전라남도,목포시,대성동,전라남도 목포시 대성동,3,목포시,제2선거구,다선거구,3
전라남도,목포시,죽교동,전라남도 목포시 죽교동,3,목포시,제2선거구,다선거구,3
전라남도,목포시,북항동,전라남도 목포시 북항동,3,목포시,제2선거구,다선거구,3
전라남도,목포시,목원동,전라남도 목포시 목원동,3,목포시,제2선거구,라선거구,2
전라남도,목포시,동명동,전라남도 목포시 동명동,3,목포시,제2선거구,라선거구,2
전라남도,목포시,만호동,전라남도 목포시 만호동,3,목포시,제2선거구,라선거구,2
전라남도,목포시,유달동,전라남도 목포시 유달동,3,목포시,제2선거구,라선거구,2
전라남도,목포시,연산동,전라남도 목포시 연산동,3,목포시,제3선거구,마선거구,3
전라남도,목포시,원산동,전라남도 목포시 원산동,3,목포시,제3선거구,마선거구,3
전라남도,목포시,용해동,전라남도 목포시 용해동,3,목포시,제3선거구,마선거구,3
전라남도,목포시,상동,전라남도 목포시 상동,3,목포시,제4선거구,바선거구,3
전라남도,목포시,삼향동,전라남도 목포시 삼향동,3,목포시,제4선거구,바선거구,3
전라남도,목포시,옥암동,전라남도 목포시 옥암동,3,목포시,제4선거구,바선거구,3
전라남도,목포시,신흥동,전라남도 목포시 신흥동,3,목포시,제5선거구,사선거구,3
전라남도,목포시,부흥동,전라남도 목포시 부흥동,3,목포시,제5선거구,사선거구,3
전라남도,목포시,부주동,전라남도 목포시 부주동,3,목포시,제5선거구,사선거구,3
전라남도,여수시,돌산읍,전라남도 여수시 돌산읍,3,여수시,제1선거구,가선거구,2
전라남도,여수시,남면,전라남도 여수시 남면,3,여수시,제1선거구,가선거구,2
전라남도,여수시,삼산면,전라남도 여수시 삼산면,3,여수시,제1선거구,가선거구,2
전라남도,여수시,대교동,전라남도 여수시 대교동,3,여수시,제1선거구,나선거구,2
전라남도,여수시,국동,전라남도 여수시 국동,3,여수시,제1선거구,나선거구,2
전라남도,여수시,월호동,전라남도 여수시 월호동,3,여수시,제1선거구,나선거구,2
전라남도,여수시,동문동,전라남도 여수시 동문동,3,여수시,제2선거구,다선거구,2
전라남도,여수시,한려동,전라남도 여수시 한려동,3,여수시,제2선거구,다선거구,2
전라남도,여수시,중앙동,전라남도 여수시 중앙동,3,여수시,제2선거구,다선거구,2
전라남도,여수시,충무동,전라남도 여수시 충무동,3,여수시,제2선거구,다선거구,2
전라남도,여수시,서강동,전라남도 여수시 서강동,3,여수시,제2선거구,다선거구,2
전라남도,여수시,미평동,전라남도 여수시 미평동,3,여수시,제2선거구,라선거구,2
전라남도,여수시,만덕동,전라남도 여수시 만덕동,3,여수시,제2선거구,라선거구,2
전라남도,여수시,삼일동,전라남도 여수시 삼일동,3,여수시,제2선거구,라선거구,2
전라남도,여수시,묘도동,전라남도 여수시 묘도동,3,여수시,제2선거구,라선거구,2
전라남도,여수시,광림동,전라남도 여수시 광림동,3,여수시,제3선거구,마선거구,4
전라남도,여수시,여서동,전라남도 여수시 여서동,3,여수시,제3선거구,마선거구,4
